app_key,confirmation_date,company,job_title,job_id,rejection_date
Kindsight | Data Scientist/Senior Data Scientist | None,2026-04-07T17:42:11Z,Kindsight,Data Scientist/Senior Data Scientist,None,2026-04-24T20:18:52Z
"I Machines, Inc. | AI/ML Model Compression & Quantization Engineer | 4394496458",2026-04-07T17:35:07Z,"I Machines, Inc.",AI/ML Model Compression & Quantization Engineer,4394496458,
Microsoft | Applied Scientist - Core AI Speech | 200019504,2026-04-07T16:22:46Z,Microsoft,Applied Scientist - Core AI Speech,200019504,2026-04-08T14:00:35Z
Sophos | Senior Data Scientist - Canada Remote | None,2026-04-07T16:19:08Z,Sophos,Senior Data Scientist - Canada Remote,None,2026-04-27T15:43:06Z
MaintainX | None | None,2026-04-07T16:16:12Z,MaintainX,None,None,
TD | Machine Learning Engineer II | R_1476583,2026-04-07T15:41:11Z,TD,Machine Learning Engineer II,R_1476583,
TELUS | L4 Senior Data Scientist | 50835,2026-04-07T15:19:20Z,TELUS,L4 Senior Data Scientist,50835,
Andiamo | Data Scientist | 4381048939,2026-04-07T15:19:15Z,Andiamo,Data Scientist,4381048939,
Pinterest | Machine Learning Engineer II – Growth Science | None,2026-04-07T14:09:09Z,Pinterest,Machine Learning Engineer II – Growth Science,None,
Tucows Inc. | None | None,2026-04-06T17:10:20+00:00,Tucows Inc.,None,None,
Cresta | Machine Learning Engineer (AI Agents) | None,2026-04-06T01:41:03+00:00,Cresta,Machine Learning Engineer (AI Agents),None,
"Huawei Technologies Canada Co., Ltd. | Researcher - AI | None",2026-04-06T01:39:57+00:00,"Huawei Technologies Canada Co., Ltd.",Researcher - AI,None,
AutoScout24 | Senior GenAI Data Scientist (m/f/d) | None,2026-04-06T01:31:04+00:00,AutoScout24,Senior GenAI Data Scientist (m/f/d),None,2026-04-10T11:51:02Z
Xanadu Quantum Technologies | AI Specialist - Agentic Research | None,2026-04-06T01:25:08Z,Xanadu Quantum Technologies,AI Specialist - Agentic Research,None,
Valsoft Corporation | Forward Deployed Engineer (AI) | None,2026-04-02T18:49:52Z,Valsoft Corporation,Forward Deployed Engineer (AI),None,
Ample Insight Inc. | Data Scientist | 20063774-5d66-4fec-a4de-a8b5abb13e21,2026-04-02T18:46:25Z,Ample Insight Inc.,Data Scientist,20063774-5d66-4fec-a4de-a8b5abb13e21,
None | Data Scientist | None,2026-04-02T18:45:20+00:00,None,Data Scientist,None,
Valsoft Corporation | Forward Deployed Engineer (AI) | None,2026-04-02T18:43:34Z,Valsoft Corporation,Forward Deployed Engineer (AI),None,
RBC | Senior Data Scientist | R-0000165608,2026-04-02T18:32:33Z,RBC,Senior Data Scientist,R-0000165608,
Vanguard | AI/ML Engineer | None,2026-04-02T11:19:22-07:00,Vanguard,AI/ML Engineer,None,2026-05-04T04:54:37-07:00
"AstraZeneca | R-239748 Fundamental AI Research Scientist - Toronto, Ontario | R-239748",2026-04-02T17:25:59+00:00,AstraZeneca,"R-239748 Fundamental AI Research Scientist - Toronto, Ontario",R-239748,2026-04-30T14:12:25Z
AstraZeneca | Fundamental AI Research Scientist | None,2026-04-02T17:25:51+00:00,AstraZeneca,Fundamental AI Research Scientist,None,
